id,artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
301,Justin Bieber,canadian pop,2015,0,1,0,1,8,0,13,1,72,negative
302,Ed Sheeran,pop,2015,1,0,1,1,6,1,30,1,71,positive
303,Nick Jonas,dance pop,2015,0,0,1,1,44,1,1,1,70,negative
304,Demi Lovato,dance pop,2015,1,0,1,1,19,0,12,1,70,positive
305,Macklemore & Ryan Lewis,dance pop,2015,0,0,1,1,29,1,9,1,70,positive
306,Paloma Faith,british soul,2015,0,1,0,1,33,1,10,1,69,negative
307,Kelly Clarkson,dance pop,2015,1,1,0,1,6,0,1,1,69,negative
308,Olly Murs,dance pop,2015,0,1,1,1,10,1,2,0,69,positive
309,Jason Derulo,dance pop,2015,0,0,0,1,10,0,56,1,69,positive
310,Naughty Boy,tropical house,2015,1,1,0,0,48,0,1,1,69,negative
311,Selena Gomez,dance pop,2015,0,0,1,1,21,1,2,0,69,negative
312,Zedd,complextro,2015,1,1,0,1,14,1,1,1,68,negative
313,Meghan Trainor,dance pop,2015,1,1,1,1,11,0,5,1,68,positive
314,Justin Bieber,canadian pop,2015,1,0,0,0,18,0,5,1,68,negative
315,Alessia Cara,canadian contemporary r&b,2015,1,1,0,1,8,0,8,1,68,negative
316,OneRepublic,dance pop,2015,1,1,0,1,27,1,7,0,67,negative
317,Pitbull,dance pop,2015,1,1,1,1,5,1,9,1,67,positive
318,Sigala,dance pop,2015,1,1,1,1,12,1,18,1,67,positive
319,Justin Bieber,canadian pop,2015,1,1,0,0,10,1,8,1,67,negative
320,Carly Rae Jepsen,canadian pop,2015,1,1,0,1,22,0,1,0,66,positive
321,Fifth Harmony,dance pop,2015,0,1,1,1,5,0,1,1,66,positive
322,Maroon 5,pop,2015,1,1,1,0,9,1,6,0,66,positive
323,Ariana Grande,dance pop,2015,0,1,1,0,44,0,27,1,66,positive
324,Meghan Trainor,dance pop,2015,1,1,1,1,11,0,5,1,65,positive
325,Ellie Goulding,dance pop,2015,1,0,1,0,9,0,26,1,65,positive
326,Little Mix,dance pop,2015,0,0,1,1,28,0,21,0,65,positive
327,Avicii,big room,2015,0,0,0,0,10,1,5,1,65,negative
328,Jennifer Lopez,dance pop,2015,1,1,1,1,26,0,0,1,64,negative
329,Justin Bieber,canadian pop,2015,1,0,1,0,10,0,79,0,64,positive
330,Justin Bieber,canadian pop,2015,0,0,0,0,17,0,88,0,63,positive
331,Rudimental,dance pop,2015,1,1,1,0,19,1,14,0,62,negative
332,Rihanna,barbadian pop,2015,0,1,0,0,33,1,5,1,61,negative
333,Jessie J,australian pop,2015,1,1,1,1,38,0,27,1,61,positive
334,Lost Frequencies,belgian edm,2015,1,0,1,0,7,0,2,0,61,positive
335,Sia,australian dance,2015,0,1,0,1,11,1,25,1,61,negative
336,Robin Schulz,dance pop,2015,1,1,0,1,16,0,2,1,60,positive
337,Justin Bieber,canadian pop,2015,0,1,1,0,32,0,2,1,60,positive
338,Lilly Wood and The Prick,french indie pop,2015,1,1,1,1,62,0,2,0,58,positive
339,Wiz Khalifa,hip hop,2015,0,0,1,0,6,1,37,1,56,negative
340,Alesso,big room,2015,1,1,0,1,24,0,4,1,56,negative
341,Jennifer Lopez,dance pop,2015,1,0,0,0,9,1,33,1,55,negative
342,One Direction,boy band,2015,0,1,0,1,12,1,6,1,55,negative
343,Madonna,dance pop,2015,0,0,0,0,12,1,4,0,54,negative
344,David Guetta,dance pop,2015,0,1,0,1,10,0,5,1,54,positive
345,Ed Sheeran,pop,2015,0,0,0,0,6,1,20,1,52,negative
346,Madonna,dance pop,2015,1,1,1,1,25,0,4,1,52,negative
347,Gwen Stefani,dance pop,2015,0,0,1,1,10,0,1,0,52,negative
348,Jess Glynne,dance pop,2015,1,1,0,1,16,0,6,0,52,positive
349,One Direction,boy band,2015,0,1,0,0,14,1,0,0,51,positive
350,Pitbull,dance pop,2015,1,1,1,1,6,0,1,1,50,positive
351,Alicia Keys,hip pop,2015,0,0,0,0,8,1,43,0,49,negative
352,Florence + The Machine,art pop,2015,0,0,0,0,11,1,75,0,47,negative
353,David Guetta,dance pop,2015,1,1,0,1,33,1,2,0,46,negative
354,Pitbull,dance pop,2015,1,1,1,0,69,1,9,1,45,positive
355,Hilary Duff,dance pop,2015,1,1,1,1,10,0,4,1,44,positive
356,Ricky Martin,dance pop,2015,1,1,1,0,4,0,1,1,42,positive
357,Katy Perry,dance pop,2015,1,1,0,1,8,1,2,1,41,negative
358,Gwen Stefani,dance pop,2015,1,1,1,1,20,0,8,1,39,positive
359,Kelly Clarkson,dance pop,2015,0,0,0,0,11,1,45,0,36,negative
360,Enrique Iglesias,dance pop,2015,0,1,1,1,6,1,1,1,34,positive
361,Jennifer Hudson,dance pop,2015,0,0,1,1,8,1,0,1,18,positive
362,Fergie,dance pop,2015,1,0,0,0,26,0,2,1,0,negative
363,The Weeknd,canadian contemporary r&b,2016,0,0,0,0,14,1,7,1,84,negative
364,Justin Bieber,canadian pop,2016,0,0,0,0,28,1,84,1,83,positive
365,DNCE,dance pop,2016,0,1,1,1,4,0,15,1,81,positive
366,The Chainsmokers,electropop,2016,1,1,0,1,14,0,16,1,81,negative
367,Martin Garrix,big room,2016,1,0,0,0,45,0,11,0,81,negative
368,Ariana Grande,dance pop,2016,0,0,0,0,14,1,2,1,80,negative
369,Calvin Harris,dance pop,2016,1,1,0,1,15,1,20,0,80,negative
370,Lady Gaga,dance pop,2016,1,0,1,0,11,0,49,0,80,negative
371,Rihanna,barbadian pop,2016,0,0,1,0,8,0,11,1,80,negative
372,Lukas Graham,danish pop,2016,1,0,1,0,39,1,29,1,80,negative
373,Justin Timberlake,dance pop,2016,0,1,1,0,19,1,1,1,79,positive
374,Fifth Harmony,dance pop,2016,0,0,1,0,6,0,10,0,79,positive
375,Alessia Cara,canadian contemporary r&b,2016,0,1,0,0,11,1,3,1,79,negative
376,Meghan Trainor,dance pop,2016,0,0,0,0,18,1,40,0,79,negative
377,Rihanna,barbadian pop,2016,0,0,1,0,9,0,8,1,78,positive
378,Shawn Mendes,canadian pop,2016,1,1,1,0,5,0,2,1,78,positive
379,G-Eazy,hip hop,2016,0,0,1,0,16,1,2,1,78,negative
380,Mike Posner,dance pop,2016,0,0,1,0,8,0,4,1,78,positive
381,Ariana Grande,dance pop,2016,1,0,1,1,36,1,5,0,78,negative
382,Hailee Steinfeld,dance pop,2016,0,0,1,1,11,0,38,1,78,negative
383,Little Mix,dance pop,2016,1,1,1,1,11,1,2,1,77,positive
384,BØRNS,electropop,2016,1,1,0,0,26,0,1,1,76,positive
385,Demi Lovato,dance pop,2016,1,1,0,0,9,0,0,1,75,negative
386,Drake,canadian hip hop,2016,0,0,1,0,10,1,5,1,74,negative
387,The Chainsmokers,electropop,2016,0,1,1,0,31,1,4,1,74,negative
388,Major Lazer,dance pop,2016,0,1,0,1,16,0,7,0,73,negative
389,Meghan Trainor,dance pop,2016,1,0,1,0,48,0,10,1,73,positive
390,Major Lazer,dance pop,2016,0,1,1,1,23,0,4,1,73,positive
391,Jennifer Lopez,dance pop,2016,1,0,1,0,7,0,5,1,72,positive
392,Nick Jonas,dance pop,2016,1,0,0,1,14,1,25,1,72,negative
393,DNCE,dance pop,2016,0,1,0,0,47,1,12,1,72,positive
394,The Chainsmokers,electropop,2016,0,0,1,0,12,0,10,0,72,negative
395,MØ,dance pop,2016,0,0,1,0,8,1,1,0,72,negative
396,Justin Bieber,canadian pop,2016,0,1,0,1,8,0,13,1,72,negative
397,Selena Gomez,dance pop,2016,0,0,1,0,34,0,1,1,71,negative
398,Adele,british soul,2016,1,0,0,1,15,1,88,0,71,negative
399,P!nk,dance pop,2016,1,0,0,0,11,0,1,1,71,negative
400,Meghan Trainor,dance pop,2016,0,1,0,1,74,0,1,1,70,positive
401,Selena Gomez,dance pop,2016,1,1,1,1,10,0,1,0,70,negative
402,Tove Lo,dance pop,2016,0,0,1,0,8,0,31,1,69,negative
403,Naughty Boy,tropical house,2016,1,1,0,0,48,0,1,1,69,negative
404,Alessia Cara,canadian contemporary r&b,2016,1,1,0,1,8,0,8,1,68,negative
405,Lady Gaga,dance pop,2016,1,1,0,1,36,0,0,0,67,positive
406,ZAYN,dance pop,2016,1,0,0,1,9,0,10,1,66,negative
407,Taylor Swift,pop,2016,0,1,0,0,34,1,0,0,66,negative
408,Katy Perry,dance pop,2016,0,0,0,0,11,0,5,1,66,negative
409,OneRepublic,dance pop,2016,0,0,0,0,27,0,9,0,66,negative
410,Demi Lovato,dance pop,2016,0,1,0,1,28,0,0,0,65,negative
411,Shawn Mendes,canadian pop,2016,1,0,0,0,10,0,60,0,65,negative
412,ZAYN,dance pop,2016,0,1,0,0,26,0,2,1,65,negative
413,Sia,australian dance,2016,0,1,0,1,8,1,6,1,64,positive
414,Bebe Rexha,dance pop,2016,0,1,0,1,9,0,5,1,64,negative
415,Carly Rae Jepsen,canadian pop,2016,0,0,0,0,5,1,1,1,63,negative
416,Snakehips,dance pop,2016,0,1,0,1,16,1,2,1,63,negative
417,Adele,british soul,2016,1,0,1,0,17,1,4,1,61,positive
418,Missy Elliott,dance pop,2016,1,1,1,1,6,0,2,1,58,positive
419,Years & Years,dance pop,2016,1,1,1,1,30,0,30,1,58,positive
420,Adele,british soul,2016,1,0,0,0,9,1,35,1,58,negative
421,Shawn Mendes,canadian pop,2016,0,1,1,1,16,1,11,1,57,positive
422,Florence + The Machine,art pop,2016,0,0,0,0,13,1,72,0,57,negative
423,Emeli Sandé,dance pop,2016,0,0,0,0,15,1,2,0,57,negative
424,Christina Aguilera,dance pop,2016,0,0,0,0,13,0,68,1,54,negative
425,Britney Spears,dance pop,2016,1,0,1,0,22,1,16,1,53,positive
426,Birdy,neo mellow,2016,1,1,0,1,19,0,16,1,52,positive
427,Zedd,complextro,2016,1,1,0,1,10,1,40,0,51,negative
428,Gwen Stefani,dance pop,2016,0,0,1,1,13,0,4,1,50,positive
429,Nick Jonas,dance pop,2016,0,1,1,1,9,0,0,1,50,positive
430,DNCE,dance pop,2016,1,1,0,1,10,0,0,0,48,positive
431,John Legend,neo mellow,2016,0,0,0,0,9,1,99,0,47,negative
432,Missy Elliott,dance pop,2016,0,1,1,1,20,1,22,1,47,negative
433,Carly Rae Jepsen,canadian pop,2016,0,1,0,1,37,1,1,1,46,negative
434,Britney Spears,dance pop,2016,0,0,0,0,9,0,3,1,44,negative
435,Charlie Puth,dance pop,2016,0,0,1,1,13,0,26,0,41,positive
436,Passenger,folk-pop,2016,0,0,0,0,11,0,91,0,36,negative
437,Hilary Duff,dance pop,2016,1,1,0,0,4,0,0,1,36,negative
438,Britney Spears,dance pop,2016,1,0,1,0,11,0,1,1,34,negative
439,Janet Jackson,dance pop,2016,1,0,1,0,31,1,5,1,31,positive
440,Joey Montana,latin,2016,1,1,1,1,37,1,9,1,29,positive
441,Nelly Furtado,canadian latin,2016,0,0,1,0,7,1,25,0,18,positive
442,Adele,british soul,2016,0,0,0,0,0,1,0,0,0,negative
443,Ed Sheeran,pop,2017,0,0,1,1,9,1,58,1,87,positive
444,The Chainsmokers,electropop,2017,0,0,1,0,11,1,41,0,86,positive
445,The Weeknd,canadian contemporary r&b,2017,1,0,1,0,14,1,14,1,85,negative
446,Shawn Mendes,canadian pop,2017,0,1,0,1,11,0,11,1,84,positive
447,Bruno Mars,pop,2017,1,0,1,1,9,0,1,0,83,positive
448,DJ Snake,electronic trap,2017,0,0,0,1,14,0,9,0,82,negative
449,The Weeknd,canadian contemporary r&b,2017,0,1,1,0,7,1,43,1,81,positive
450,Shawn Mendes,canadian pop,2017,1,0,0,1,11,0,13,1,81,negative
451,Ariana Grande,dance pop,2017,1,1,0,0,24,1,5,1,80,positive
452,Zedd,complextro,2017,0,0,1,1,12,0,25,1,80,positive
453,Kygo,edm,2017,0,0,0,0,9,1,12,1,79,positive
454,Miley Cyrus,dance pop,2017,1,1,0,0,8,1,8,1,78,negative
455,The Chainsmokers,electropop,2017,0,0,0,0,17,1,3,0,78,negative
456,Clean Bandit,dance pop,2017,0,1,1,1,18,1,41,1,78,positive
457,ZAYN,dance pop,2017,0,0,1,0,33,1,6,1,78,negative
458,Calvin Harris,dance pop,2017,1,1,1,1,16,0,9,0,78,positive
459,DJ Khaled,dance pop,2017,0,0,0,1,17,1,6,0,77,positive
460,Kesha,dance pop,2017,0,0,0,0,11,1,49,0,77,negative
461,Luis Fonsi,latin,2017,1,1,0,1,10,1,23,1,76,positive
462,Sia,australian dance,2017,1,0,1,0,6,0,1,1,76,positive
463,Martin Garrix,big room,2017,0,0,0,0,12,1,12,1,76,negative
464,The Chainsmokers,electropop,2017,0,0,0,0,9,1,2,0,76,negative
465,Camila Cabello,dance pop,2017,0,0,0,0,16,0,33,1,75,positive
466,Jonas Blue,dance pop,2017,0,1,1,1,5,0,10,0,75,positive
467,Calvin Harris,dance pop,2017,0,1,1,1,25,1,50,1,75,negative
468,Katy Perry,dance pop,2017,1,0,1,1,10,1,2,0,73,positive
469,Katy Perry,dance pop,2017,1,1,0,1,20,1,8,1,72,negative
470,Maroon 5,pop,2017,0,0,1,0,5,1,14,1,72,negative
471,Lana Del Rey,art pop,2017,0,0,0,0,11,1,49,0,72,negative
472,CNCO,boy band,2017,0,1,0,1,10,0,15,1,71,positive
473,Adele,british soul,2017,1,0,0,1,15,1,88,0,71,negative
474,Kygo,edm,2017,0,0,0,0,10,0,20,1,71,positive
475,Lady Gaga,dance pop,2017,0,0,1,1,9,0,8,0,71,positive
476,Alessia Cara,canadian contemporary r&b,2017,1,0,0,0,7,0,16,1,71,negative
477,Cardi B,pop,2017,1,0,1,0,35,1,7,1,70,negative
478,OneRepublic,dance pop,2017,0,1,0,1,36,0,17,1,70,negative
479,Alan Walker,electro house,2017,1,1,1,1,15,0,4,1,70,negative
480,Sigala,dance pop,2017,1,1,1,1,12,0,3,0,70,positive
481,Bruno Mars,pop,2017,0,1,1,1,15,1,3,1,69,positive
482,Liam Payne,dance pop,2017,0,0,1,1,8,0,20,1,69,positive
483,Carly Rae Jepsen,canadian pop,2017,0,1,1,1,30,0,1,1,69,positive
484,Robin Schulz,dance pop,2017,1,1,0,0,13,0,12,1,69,positive
485,Katy Perry,dance pop,2017,0,1,1,0,22,1,13,1,68,positive
486,Lana Del Rey,art pop,2017,1,0,1,0,20,1,2,1,67,negative
487,Zedd,complextro,2017,0,1,1,1,5,0,3,1,66,positive
488,DNCE,dance pop,2017,1,1,1,0,9,0,5,0,66,positive
489,Niall Horan,dance pop,2017,0,0,1,0,6,0,1,1,64,positive
490,Miley Cyrus,dance pop,2017,1,1,0,1,14,1,0,1,62,negative
491,DNCE,dance pop,2017,0,0,0,1,4,1,0,0,62,positive
492,Lost Frequencies,belgian edm,2017,1,0,1,0,8,0,2,0,59,positive
493,Fifth Harmony,dance pop,2017,1,0,1,0,35,0,0,0,59,negative
494,Little Mix,dance pop,2017,0,1,0,1,49,0,4,1,59,positive
495,Charlie Puth,dance pop,2017,0,1,1,1,45,0,49,1,59,positive
496,Cashmere Cat,downtempo,2017,1,0,0,0,20,0,6,1,59,negative
497,OneRepublic,dance pop,2017,0,1,1,1,14,1,8,0,57,positive
498,Galantis,big room,2017,0,1,1,1,8,0,7,1,55,positive
499,Lana Del Rey,art pop,2017,0,0,0,0,36,1,58,1,54,negative
500,Pitbull,dance pop,2017,0,1,1,0,36,1,28,1,54,positive
501,Tove Lo,dance pop,2017,0,0,1,0,11,1,10,1,54,negative
502,Nick Jonas,dance pop,2017,0,0,1,0,4,0,14,1,53,positive
503,Pitbull,dance pop,2017,1,1,0,1,4,1,2,1,51,positive
504,Adele,british soul,2017,0,1,0,0,11,1,2,1,49,negative
505,Sia,australian dance,2017,0,0,0,1,14,1,85,0,44,negative
506,DNCE,dance pop,2017,1,1,1,0,8,0,8,1,43,positive
507,Coldplay,permanent wave,2017,1,1,0,1,21,1,0,0,41,negative
508,Calvin Harris,dance pop,2018,1,1,1,1,8,0,4,1,86,positive
509,Camila Cabello,dance pop,2018,0,0,1,1,13,0,18,0,85,negative
510,Cardi B,pop,2018,1,0,1,1,37,1,10,1,85,positive
511,Dua Lipa,dance pop,2018,0,0,1,0,15,0,0,1,84,positive
512,Shawn Mendes,canadian pop,2018,1,1,1,1,8,0,38,1,84,positive
513,Ariana Grande,dance pop,2018,1,0,1,0,29,0,4,1,84,negative
514,Dua Lipa,dance pop,2018,0,0,1,0,8,0,4,1,84,negative
515,Shawn Mendes,canadian pop,2018,1,0,0,0,13,0,6,1,83,negative
516,Selena Gomez,dance pop,2018,1,1,1,1,20,0,12,0,83,negative
517,ZAYN,dance pop,2018,1,0,0,0,11,1,10,0,83,negative
518,Charlie Puth,dance pop,2018,0,0,1,1,13,0,11,1,83,positive
519,Silk City,edm,2018,0,0,0,0,34,1,1,1,82,negative
520,Rihanna,barbadian pop,2018,1,0,0,1,8,1,7,1,82,negative
521,Hailee Steinfeld,dance pop,2018,0,0,1,1,8,0,3,1,82,positive
522,Marshmello,brostep,2018,1,1,0,1,17,0,26,1,82,negative
523,Demi Lovato,dance pop,2018,1,0,1,0,26,0,2,1,81,positive
524,Lady Gaga,dance pop,2018,0,0,0,0,9,0,42,0,80,negative
525,Rudimental,dance pop,2018,0,1,0,1,17,0,19,1,80,positive
526,Maroon 5,pop,2018,0,0,1,1,10,0,8,1,79,negative
527,Bruno Mars,pop,2018,0,1,1,1,2,0,2,1,78,positive
528,Ed Sheeran,pop,2018,0,0,0,0,12,1,78,0,78,negative
529,Halsey,dance pop,2018,0,1,1,1,9,0,6,0,78,positive
530,G-Eazy,hip hop,2018,0,0,0,0,31,1,5,1,78,negative
531,Justin Bieber,canadian pop,2018,0,0,1,1,30,0,0,0,77,positive
532,DJ Khaled,dance pop,2018,0,0,1,1,12,0,3,1,76,positive
533,Troye Sivan,dance pop,2018,0,0,1,0,5,0,0,1,76,negative
534,Hailee Steinfeld,dance pop,2018,0,1,1,0,5,0,3,1,76,negative
535,The Chainsmokers,electropop,2018,0,0,1,0,12,0,11,1,76,negative
536,Dan + Shay,contemporary country,2018,0,0,0,0,13,0,3,0,76,negative
537,Taylor Swift,pop,2018,1,0,1,0,13,0,20,1,75,negative
538,Shawn Mendes,canadian pop,2018,0,0,0,0,13,0,56,1,75,negative
539,Selena Gomez,dance pop,2018,1,0,1,0,8,0,19,1,75,positive
540,Rita Ora,dance pop,2018,0,1,0,1,10,0,4,1,74,negative
541,Justin Timberlake,dance pop,2018,0,0,1,0,8,1,10,1,74,negative
542,Nicki Minaj,dance pop,2018,1,0,1,1,11,0,28,1,73,negative
543,Harry Styles,dance pop,2018,1,0,0,1,11,1,3,0,72,negative
544,Liam Payne,dance pop,2018,0,1,0,1,8,0,2,1,72,positive
545,ZAYN,dance pop,2018,1,0,0,0,10,0,24,1,72,negative
546,Ansel Elgort,dance pop,2018,1,0,1,1,21,0,6,1,72,positive
547,Shawn Mendes,canadian pop,2018,1,0,1,0,13,0,4,1,71,positive
548,Kygo,edm,2018,0,0,0,0,10,0,20,1,71,positive
549,Taylor Swift,pop,2018,1,0,0,0,11,1,1,1,70,negative
550,J Balvin,latin,2018,0,0,1,0,23,0,2,1,68,negative
551,N.E.R.D,hip hop,2018,0,0,1,0,12,0,0,1,68,negative
552,Liam Payne,dance pop,2018,0,1,0,1,42,1,2,0,67,negative
553,Dua Lipa,dance pop,2018,0,0,0,1,6,0,8,1,67,negative
554,Hayley Kiyoko,dance pop,2018,0,1,0,1,16,0,5,1,67,negative
555,Maroon 5,pop,2018,1,0,1,1,11,0,10,1,67,negative
556,P!nk,dance pop,2018,0,0,0,0,9,1,3,1,66,negative
557,DNCE,dance pop,2018,1,1,1,0,9,0,5,0,66,positive
558,David Guetta,dance pop,2018,1,0,0,0,23,0,23,1,65,positive
559,Eminem,detroit hip hop,2018,0,0,0,0,64,1,81,1,65,positive
560,Niall Horan,dance pop,2018,0,0,1,0,12,1,70,0,64,negative
561,Rita Ora,dance pop,2018,0,0,1,1,10,1,2,1,64,negative
562,Enrique Iglesias,dance pop,2018,0,1,1,1,7,0,3,1,64,positive
563,Cashmere Cat,downtempo,2018,0,0,1,1,11,0,25,1,64,negative
564,Justin Timberlake,dance pop,2018,0,0,1,0,25,1,4,1,62,positive
565,Camila Cabello,dance pop,2018,1,0,0,1,12,1,16,1,57,negative
566,Bebe Rexha,dance pop,2018,0,0,0,0,10,0,2,0,57,negative
567,Justin Timberlake,dance pop,2018,1,0,1,0,13,1,1,1,57,negative
568,RedOne,moroccan pop,2018,0,1,1,0,20,1,0,1,53,positive
569,Taylor Swift,pop,2018,1,1,0,1,10,0,13,1,52,negative
570,Cardi B,pop,2018,1,0,1,0,8,1,5,1,45,negative
571,Demi Lovato,dance pop,2018,0,1,0,1,9,0,5,1,44,positive
572,Maroon 5,pop,2019,0,0,1,0,8,0,84,1,99,positive
573,Selena Gomez,dance pop,2019,0,0,0,0,21,0,58,0,97,negative
574,Lewis Capaldi,pop,2019,0,0,0,0,11,0,75,0,96,negative
575,Shawn Mendes,canadian pop,2019,0,0,1,0,9,0,4,0,95,positive
576,Sam Smith,pop,2019,0,0,0,1,8,0,15,1,93,negative
577,Ed Sheeran,pop,2019,0,0,1,0,9,0,15,1,92,positive
578,SHAED,electropop,2019,1,0,0,0,14,0,56,0,92,negative
579,Marshmello,brostep,2019,0,1,1,1,17,0,19,1,90,positive
580,Lizzo,escape room,2019,1,0,1,1,12,0,11,1,90,negative
581,Lizzo,escape room,2019,0,1,1,1,74,0,30,1,90,negative
582,Kygo,edm,2019,0,0,1,0,10,1,2,0,88,negative
583,Jonas Brothers,boy band,2019,0,0,1,0,6,0,11,1,87,positive
584,Ed Sheeran,pop,2019,0,0,0,0,8,0,12,1,86,positive
585,Jonas Brothers,boy band,2019,1,0,1,1,11,0,4,1,86,positive
586,Mabel,dance pop,2019,0,1,1,1,8,0,30,1,86,negative
587,Ed Sheeran,pop,2019,0,0,1,1,9,0,9,0,85,positive
588,Khalid,alternative r&b,2019,1,0,1,0,6,0,5,1,84,negative
589,Calvin Harris,dance pop,2019,1,1,1,1,8,1,2,0,84,positive
590,The Chainsmokers,electropop,2019,0,0,0,0,10,0,13,0,83,negative
591,R3HAB,big room,2019,1,1,1,1,11,0,48,0,82,positive
592,Maroon 5,pop,2019,1,0,1,0,13,1,57,1,81,negative
593,The Chainsmokers,electropop,2019,0,0,0,0,34,0,20,0,81,positive
594,Chris Brown,dance pop,2019,0,0,1,0,16,1,12,1,81,negative
595,Ed Sheeran,pop,2019,1,1,1,1,36,0,13,1,78,positive
596,DJ Snake,electronic trap,2019,0,1,1,1,6,0,16,1,77,positive
597,Daddy Yankee,latin,2019,0,1,1,1,4,0,17,1,76,positive
598,Mark Ronson,dance pop,2019,0,0,0,0,20,0,1,0,75,negative
599,Ed Sheeran,pop,2019,0,1,1,0,7,0,21,1,75,positive
600,DJ Khaled,dance pop,2019,1,1,0,1,9,1,7,1,70,positive
601,Mark Ronson,dance pop,2019,0,1,0,0,42,0,1,1,69,negative
602,The Chainsmokers,electropop,2019,1,0,1,0,13,0,6,1,67,negative
